Id,Role,Gender,Age,Date of death,Age range,Num victims,Date,Day,Hr,Street Tipe,Street,Croos,Commune,Pos X,Pos Y,Victim,Accused,X coordinate,Y coordinate,Neighborhoods,Weekday
2018-0027,PEATON,FEMENINO,74,2018-03-11,61 -80,1,2018-03-11,11.0,23,CALLE,CASTRO,RONDEAU,Commune 5,-58.41911301,-34.63722107,PEATON,MOTO,104051.46146857,99117.09528964,ALMAGRO - BOEDO,Sunday
2018-0028,PEATON,MASCULINO,71,2018-03-13,61 -80,1,2018-03-13,13.0,15,AVENIDA,"BILBAO, FRANCISCO AV.",AZUL,Commune 9,-58.47120586,-34.64251042,PEATON,CARGAS,99275.15851476,98531.15835355,LINIERS - MATADEROS - PARQUE AVELLANEDA,Tuesday
2018-0029,CONDUCTOR,MASCULINO,26,2018-03-15,25 -40,1,2018-03-15,15.0,18,AVENIDA,NAZCA AV.,GAONA AV.,Commune 11,-58.47418944,-34.62049672,MOTO,AUTO,99001.33520474,100973.19474422,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Thursday
2018-0030,CONDUCTOR,MASCULINO,24,2018-03-20,25 -40,1,2018-03-20,20.0,1,AVENIDA,PLAZA,ALVAREZ THOMAS AV.,Commune 15,-58.46720441,-34.57905579,MOTO,MOTO,99641.7105566,105570.42188351,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Tuesday
2018-0031,CONDUCTOR,MASCULINO,31,2018-03-28,25 -40,1,2018-03-28,28.0,10,AVENIDA,GAONA AV.,"ARTIGAS, JOSE GERVASIO, GRAL.",Commune 11,-58.46909362,-34.6177971,MOTO,CARGAS,99468.64184992,101272.71412938,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Wednesday
2018-0032,PEATON,MASCULINO,70,2018-04-02,61 -80,1,2018-04-02,2.0,13,AVENIDA,CABILDO AV.,AGUILAR,Commune 13,-58.44704343,-34.5688864,PEATON,PASAJEROS,101491.71965442,106698.43843791,BELGRANO - COLEGIALES - NUÃ‘EZ,Monday
2018-0033,CONDUCTOR,FEMENINO,42,2018-04-10,41 -60,1,2018-04-07,7.0,7,AVENIDA,CAMARONES,LOPE DE VEGA AV.,Commune 10,-58.50535541,-34.62902048,MOTO,CARGAS,96143.57848535,100026.8555845,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Saturday
2018-0034,PEATON,MASCULINO,24,2018-04-11,25 -40,1,2018-04-11,11.0,18,AVENIDA,SANTA FE AV.,,Commune 2,-58.40021675,-34.59522198,PEATON,PASAJEROS,105786.93203839,103775.29320399,RECOLETA,Wednesday
2018-0035,PEATON,FEMENINO,39,2018-04-12,25 -40,1,2018-04-12,12.0,16,AVENIDA,RIVADAVIA AV.,,Commune 7,-58.46325991,-34.62919627,PEATON,PASAJEROS,100003.66169818,100008.18099088,FLORES - PARQUE CHACABUCO,Thursday
2018-0036,CONDUCTOR,MASCULINO,37,2018-04-15,25 -40,1,2018-04-13,13.0,23,AVENIDA,SAN MARTIN AV.,ARGERICH,Commune 15,-58.49471482,-34.59694755,MOTO,AUTO,97118.17245497,103585.17867883,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Friday
